Username,Datetime,Text
xHoLdMyLzZzZz,2022-12-01 23:59:24+00:00,"Thanks @santandave1 for spending 1,107 minutes with me in 2022. I couldn’t stop listening to Starlight. #SpotifyWrapped https://t.co/aRc0l8LFtr"
dailyme05,2022-12-01 23:59:24+00:00,"Thanks @enhypen_members for spending 2,372 minutes with me in 2022. I couldn’t stop listening to SHOUT OUT. #SpotifyWrapped https://t.co/0jCBXM7UbO"
bxngtanniess,2022-12-01 23:59:23+00:00,Not my friend sending me this today. Plus one of my old coworkers had bts at the top of her spotify wrapped this year. It seems my “introduce everyone to bts” is going according to plan 😈 https://t.co/xMeAj3J8YD
Ben88084287,2022-12-01 23:59:22+00:00,Thanks @sabaton for spending 499 minutes with me in 2022. I couldn’t stop listening to Bismarck. #SpotifyWrapped https://t.co/mGgblmNZgK
jellybean420699,2022-12-01 23:59:22+00:00,guys when does spotify start taking down data for the next wrapped cus i already fucked up
nfmusicislife,2022-12-01 23:59:22+00:00,"Thanks @nfrealmusic for music so I could listen to Nf music for 6,381 minutes. My highest song was Let You Down. And, this isnt even counting listening to Nf on youtube😂 or counting December #SpotifyWrapped https://t.co/ybjulhTk8Y"
PriscillaNobr3,2022-12-01 23:59:21+00:00,"Thanks @pink for spending 2,112 minutes with me in 2022. I couldn’t stop listening. #SpotifyWrapped https://t.co/I8OQHT2h7x"
_quokka__,2022-12-01 23:59:21+00:00,"Thanks @stray_kids for spending 3,314 minutes with me in 2022. I couldn’t stop listening to God’s Menu. #SpotifyWrapped https://t.co/9B0riOat0q"
acebron_ila,2022-12-01 23:59:21+00:00,Thanks @zacktabudlo for spending 589 minutes with me in 2022. I couldn’t stop listening to Pano. #SpotifyWrapped https://t.co/o590gjk031
Enjoydip,2022-12-01 23:59:21+00:00,Thanks @tulusm for spending 372 minutes with me in 2022. I couldn’t stop listening to Monokrom. #SpotifyWrapped https://t.co/tG9xV8k6Ff
RJTheDestroyer,2022-12-01 23:59:20+00:00,"My top artist of 2022; should've had an extra 7 in there lol. Who was yours? #SpotifyWrapped 
https://t.co/VvDUycZMW6"
